Норматив,Время (мин),Время (час),,,,,,,,,,,,,,,,,,
Киров,Знак,Козулева д. 1,98,мая 2026,45,18.06.2026,,ГИС ЖКХ,Проведение,,Азбука,Шлагбаум,1,"0,25",25,8,6,,Турундаева М.,Шлагбаум
Киров,Знак,Тургенева д. 8,85,мая 2026,20,31.05.2026,,ГИС ЖКХ,Проведение,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",85,28,1,Не успеваем по сроку ОСС,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс"
Киров,Васильки,Героя Рослякова д. 5,99,июн. 2026,45,16.07.2026,,ГИС ЖКХ,Подготовка,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",99,33,1,,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс"
Киров,Васильки,Героя Рослякова д. 6,44,июн. 2026,45,16.07.2026,,ГИС ЖКХ,Подготовка,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",44,15,3,,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс, ФКР"
Киров,Васильки,Героя Рослякова д. 7,66,июн. 2026,45,16.07.2026,,ГИС ЖКХ,Подготовка,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",66,22,2,,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс"
Киров,Точки,Ломоносова. д. 10 А,96,июн. 2026,45,16.07.2026,,ГИС ЖКХ,,,Азбука,ФКР,1,"0,17",16,5,8,,Турундаева М.,кап.рем
Киров,Точки,Советская 49,102,июн. 2026,45,16.07.2026,,ГИС ЖКХ,Подготовка,,Азбука,Иное,1,"0,25",26,9,5,,Турундаева М.,подстветка
Киров,Знак,Энтузиастов д.62,64,июн. 2026,30,01.07.2026,,ГИС ЖКХ,,КП на калитку,Азбука,"Тариф, ДУ, Индекс",1,"1,00",64,21,1,,Турундаева М.,"Тариф, ДУ, Индекс"
Киров,Знак,Энтузиастов д.64,64,июн. 2026,30,01.07.2026,,ГИС ЖКХ,,КП на калитку,Азбука,"Тариф, ДУ, Индекс",1,"1,00",64,21,1,,Турундаева М.,"Тариф, ДУ, Индекс"
Киров,Знак,Тургенева д. 28,60,июн. 2026,45,17.07.2026,,ГИС ЖКХ,,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",60,20,2,,Турундаева М.,"Тариф, ДУ, Индекс"
Киров,Знак,Капитана Дорофеева д.3,140,авг. 2026,30,31.08.2026,,ГИС ЖКХ,,,Азбука,"Тариф, ДУ, Сплит",1,"1,00",140,47,1,Не успеваем по сроку ОСС,Турундаева М.,"Тариф, ДУ, кондиц"
Киров,Знак,Капитана Дорофеева д.5,124,авг. 2026,30,31.08.2026,,ГИС ЖКХ,,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",124,41,1,Не успеваем по сроку ОСС,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс"
Киров,Знак,Старославянская д.14,134,сент. 2026,45,16.10.2026,,ГИС ЖКХ,,,Азбука,"Тариф, ДУ, Индекс",1,"1,00",134,45,1,,Турундаева М.,"Письмо Минималка, Тариф, ДУ, Индекс"
